Annee	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Uree	Salmon	Listeria	Staph	Coliformes	Pseudom	E-coli
2019	1	3	34	NEG	4470	3640	662		0,517			200						
2018	12	1	11	NEG	4630	3600	509	9200	0,518	0,39		160						
2018	12	2	9	NEG	4600	3620	688	1300	0,515			150						
2018	12	3	73	NEG	4600	3640	697		0,52			150						
2018	11	1	10	NEG	4600	3560	441	1300	0,519			170						
2018	11	2	12	NEG	4490	3490	659	1300	0,519			170						
2018	10	1	5	NEG	4630	3590	319	450	0,513			210						
2018	10	2	5	NEG	4540	3570	335	200	0,521			220						
2018	10	3	5	NEG	4660	3530	342		0,514			160						
2018	9	1	34	NEG	4300	3530	385	200	0,517	0,43		290						
2018	9	2	9	NEG	4620	3610	380		0,516			210						
2018	9	3	5	NEG	4600	3690	462		0,516			230						
2018	8	1	19	NEG	4140	3450	618	80	0,521			300						
2018	8	2	54	NEG	4130	3460	608		0,522			310						
2018	8	3	6	NEG	4230	3560	567		0,522			270						
2018	7	1	6	NEG	4020	3290	728		0,519			260						
2018	7	2	5	NEG	4110	3340	687	200	0,52			270						
2018	7	3	39	NEG	4080	3400	556		0,519			270						
2018	6	1	20	NEG	4350	3500	563		0,519	0,43		300						
2018	6	2	9	NEG	4200	3420	355	200	0,518			310						
2018	6	3	28	NEG	4170	3390	462		0,521			280						
2018	5	1	21	NEG	4250	3610	445		0,515			350						
2018	5	2	18	NEG	4220	3630	544	80	0,516			350						
2018	5	3		NEG	4190	3450	488		0,514			370						
2018	4	1	27	NEG	4410	3620	424		0,513			250						
2018	4	2	11	NEG	4300	3600	378	2200	0,515			270						
2018	4	3	7	NEG	4110	3650	342		0,516			300						
2018	3	1	17	NEG	4530	3630	478	200	0,516	0,35		210						
2018	3	2	14	NEG	4620	3600	561	790	0,514			200						
2018	3	3	5	NEG	4550	3610	542		0,516			230						
2018	2	1	15	NEG	4590	3690	573	2400	0,516			240						
2018	2	2	51	NEG	4730	3660	523	690	0,516			230						
2018	2	3	43	NEG	4600	3620	395		0,514			210						
2018	1	1	18	NEG	4800	3770	703	3500	0,511			180						
2018	1	2	24	NEG	4570	3750	507	5400	0,517			210						
2018	1	3	21	NEG	4900	3750	539		0,513			230						
2017	12	1	37	NEG	4570	3570	457	3500	0,518			239						
2017	12	2	41	NEG	4650	3640	554	16000	0,52			299						
2017	12	3		NEG	4670	3640	321		0,513	0,39		230						
2017	11	1	33	NEG	4720	3710	189	2800	0,521			180						
2017	11	2	21	NEG	4650	3600	348	2400	0,524			268						
2017	11	3	6	NEG	4530	3520	440		0,517			262						
2017	10	1	5	NEG	4560	3670	240	410	0,521			171						
2017	10	2	5	NEG	4650	3690	181	1700	0,518			201						
2017	10	3	8	NEG	4600	3630	227		0,521			251						
2017	9	1	20	NEG	4120	3390	281		0,527			313						
2017	9	2	10	NEG	4180	3400	283	1700	0,522	0,5		313						
2017	9	3	7	NEG	4320	3600	213		0,522			225						
2017	8	1	14	NEG	3880	3340	370	2200	0,528			298						
2017	8	2	27	NEG	3900	3340	453		0,525			257						
2017	8	3	14	NEG	4040	3370	379		0,525			240						
2017	7	1	5	NEG	3970	3330	292	80	0,527			322						
2017	7	2	11	NEG	3950	3370	414		0,528			308						
2017	7	3	9	NEG	3860	3310	432		0,524			322						
2017	6	1	5	NEG	4190	3360	245		0,525			262						
2017	6	2	9	NEG	3980	3470	274	3500	0,526			339						
2017	6	3	8	NEG	3900	3400	388		0,523	0,5		241						
2017	5	1	11	NEG	4250	3590	310	200	0,522			282						
2017	5	2	5	NEG	4270	3490	368		0,521			324						
2017	5	3	5	NEG	4290	3520	174		0,521			288						
2017	4	1	27	NEG	4510	3540	404	450	0,52			307						
2017	4	2	5	NEG	4430	3530	427		0,519			252						
2017	4	3	36	NEG	4380	3380	395		0,522			227						
2017	3	1	10	NEG	4370	3560	288	2400	0,523	0,39		322						
2017	3	2	5	NEG	4430	3560	470	5400	0,517			283						
2017	3	3	5	NEG	4590	3670	412		0,525			247						
2017	2	1	16	NEG	4620	3700	215	5400	0,521			321						
2017	2	2	18	NEG	4390	3570	183	3500	0,525			262						
2017	2	3	5	NEG	4510	3530	248		0,521			286						
2017	1	1	21	NEG	4730	3620	625	5400	0,517			281						
2017	1	2	7	NEG	4590	3710	329	24000	0,519			262						
2017	1	3	17	NEG	4580	3580	322		0,519			272						
2016	12	1	8	NEG	4700	3840		3500	0,519			235						
2016	12	2	9	NEG	4730	3850	228	3500	0,523	0,35		304						
2016	12	3	11	NEG	4770	3810	268		0,517			242						
2016	11	1	12	NEG	4520	3760	108	1300	0,519			303						
2016	11	2	5	NEG	4510	3720	121	2400	0,52			282						
2016	11	3	7	NEG	4660	3820	125		0,522			224						
2016	10	1	5	NEG	4490	3560	149	200	0,518			286						
2016	10	2	9	NEG	4380	3580	114	450	0,514			249						
2016	10	3	13	NEG	4420	3720	144		0,522			245						
2016	9	1	6	NEG	4520	3670	241	200	0,52			300						
2016	9	2	6	NEG	4460	3630	199		0,521			395						
2016	9	3	15	NEG	4480	3590	215		0,523	0,35		344						
2016	8	1	5	NEG	4250	3450	315		0,518			320						
2016	8	2	15	NEG	4250	3480	396	80	0,521			300						
2016	8	3	68	NEG	4320	3540	245		0,52			280						
2016	7	1	36	NEG	4030	3380	274	200	0,527			349						
2016	7	2	5	NEG	4270	3420	329		0,526			336						
2016	7	3	8	NEG	4310	3380	273		0,519			320						
2016	6	1	29	NEG	3980	3490	411	450	0,527			300						
2016	6	2	49	NEG	3980	3470	410		0,52	0,35		293						
2016	6	3	5	NEG	4030	3390	415		0,521			330						
2016	5	1	32	NEG	4260	3300	470	80	0,519			403						
2016	5	2	8	NEG	4110	3410	260		0,522			334						
2016	5	3	42	NEG	4100	3440	354		0,517			360						
2016	4	1	68	NEG	4520	3650	372	80	0,518			208						
2016	4	2	9	NEG	4210	3600	225		0,515			275						
2016	4	3	12	NEG	4320	3420	197		0,515			266						
2016	3	1	26	NEG	4830	3770	311	1300	0,523			246						
2016	3	2	16	NEG	4590	3680	507	1700	0,52			333						
2016	3	3	8	NEG	4730	3680	709		0,518	0,35		308						
2016	2	1	27	NEG	4660	3780	335	1400	0,522			242						
2016	2	2	97	NEG	4560	3690	315	790	0,518			263						
2016	2	3	8	NEG	4580	3730	325		0,521			277						
2016	1	1	13	NEG	4470	3770	446	2400	0,517			247						
2016	1	2	28	NEG	4400	3720	733	1400	0,513			241						
2016	1	3	18	NEG	4530	3680	402		0,519			268						
2015	12	1	12	NEG	4520	3640	246	1700	0,521			247						
2015	12	2	5	NEG	4500	3660	229	9200	0,523	0,43		258						
2015	12	3	58	NEG	4510	3740	211		0,518			244						
2015	11	1	8	NEG	4540	3710	210	1300	0,523			235						
2015	11	2	82	NEG	4580	3680	335	790	0,522			271						
2015	11	3	6	NEG	4520	3690	303		0,522			254						
2015	10	1	15	NEG	4480	3580	212	930	0,52			282						
2015	10	2	8	NEG	4610	3630	252	790	0,524			265						
2015	10	3	5	NEG	4600	3610	240		0,522			176						
2015	9	1	17	NEG	4550	3690	192	450	0,526			237						
2015	9	2	23	NEG	4700	3650	199		0,525	0,46		394						
2015	9	3	53	NEG	4650	3640	207		0,524			308						
2015	8	1	11	NEG	4310	3500	356	80	0,529			232						
2015	8	2	5	NEG	4180	3490	122		0,524			232						
2015	8	3	13	NEG	4270	3610	138		0,527			267						
2015	7	1	5	NEG	4130	3370	276	200	0,518			183						
2015	7	2	13	NEG	4270	3430	298		0,524			201						
2015	7	3	8	NEG	4080	3370	243		0,524			215						
2015	6	1	8	NEG	4240	3450	192	450	0,522			264						
2015	6	2	9	NEG	4090	3480	217		0,527	0,53		307						
2015	6	3	5	NEG	4050	3390	187		0,527			212						
2015	5	1	5	NEG	4220	3530	272	200	0,524			266						
2015	5	2	6	NEG	4200	3470	211		0,526			188						
2015	5	3	5	NEG	4200	3540	207		0,521			301						
2015	4	1	13	NEG	4510	3450	200		0,522			309						
2015	4	2	5	NEG	4420	3550	199	450	0,52			253						
2015	4	3	26	NEG	4310	3470	201		0,519			218						
2015	3	1	10	NEG	4670	3540	291	450	0,522			245						
2015	3	2	30	NEG	4650	3480	161	450	0,524	0,35		282						
2015	3	3	22	NEG	4610	3450	168		0,522			246						
2015	2	1	11	NEG	4630	3570	361	690	0,522			280						
2015	2	2	12	NEG	4620	3490	205	450	0,52			346						
2015	2	3	9	NEG	4580	3530	227		0,523			292						
2015	1	1	12	NEG	4910	3610	478	2400	0,523			216						
2015	1	2	17	NEG	4930	3720	335	2400	0,523			239						
2015	1	3	59	NEG	4870	3660	673		0,518			231						
2014	12	1	12	NEG	4730	3720	210	3500	0,522	0,35		312						
2014	12	2	35	NEG	4800	3730	368	2400	0,525			283						
2014	12	3	11	NEG	4820	3720	232		0,522			234						
2014	11	1	104	NEG	4530	3600	195	790	0,521			272						
2014	11	2	31	NEG	4620	3530	178	9200	0,52			264						
2014	11	3	9	NEG	4710	3720	273		0,522			255						
2014	10	1	8	NEG	4680	3750	146	1300	0,518			200						
2014	10	2	5	NEG	4690	3700	193	450	0,522			244						
2014	10	3	19	NEG	4710	3650	359		0,522			244						
2014	9	1	6	NEG	4370	3530	205		0,519			200						
2014	9	2	14	NEG	4550	3730	221	690	0,517	0,35		138						
2014	9	3	7	NEG	4580	3680	162		0,52			204						
2014	8	1	6	NEG	4020	3300	292	790	0,527			323						
2014	8	2	5	NEG	3990	3330	193		0,527			300						
2014	8	3	5	NEG	4210	3440	232		0,525			301						
2014	7	1	18	NEG	4040	3270	206		0,525			320						
2014	7	2	9	NEG	4030	3350	161	1100	0,525			331						
2014	7	3	17	NEG	3890	3320	177		0,522			282						
2014	6	1	7	NEG	4050	3460	228		0,524			330						
2014	6	2	5	NEG	4170	3430	177	200	0,525	0,35		289						
2014	6	3	5	NEG	4090	3310	163		0,522			332						
2014	5	1	10	NEG	4450	3610	183		0,515			216						
2014	5	2	5	NEG	4380	3560	267	80	0,519			281						
2014	5	3	7	NEG	4250	3620	214		0,521			306						
2014	4	1	5	NEG	4540	3730	221		0,521			306						
2014	4	2	5	NEG	4330	3700	149	450	0,52			266						
2014	4	3	5	NEG	4440	3620	186		0,521			297						
2014	3	1	6	NEG	4800	3730	218	690	0,523			245						
2014	3	2	13	NEG	4950	3790	186	790	0,526	0,35		278						
2014	3	3	6	NEG	4700	3650	159		0,526			289						
2014	2	1	10	NEG	4710	3640	244	3500	0,523			248						
2014	2	2	7	NEG	4620	3630	234	3500	0,525			257						
2014	2	3	7	NEG	4660	3710	307		0,525			263						
2014	1	1	7	NEG	4550	3600	334	2400	0,525			258						
2014	1	2	22	NEG	4480	3640	252	1700	0,525			243						
2014	1	3	10	NEG	4580	3650	229		0,524			281						
